id,quantidade_maxima,nome_pacote,preco,ordem,ativo,atualizado_em
1,100,Pacote 100,37.90,1,t,2025-12-09 02:12:45.50154
2,300,Pacote 300,67.90,2,t,2025-12-09 02:12:45.50154
3,500,Pacote 500,97.90,3,t,2025-12-09 02:12:45.50154
4,1000,Pacote 1000,187.90,4,t,2025-12-09 02:12:45.50154
5,2000,Pacote 2000,297.90,5,t,2025-12-09 02:12:45.50154
6,3000,Pacote 3000,397.90,6,t,2025-12-09 02:12:45.50154
7,5000,Pacote 5000,597.90,7,t,2025-12-09 02:12:45.50154
8,10000,Pacote 10000,997.90,8,t,2025-12-09 02:12:45.50154
