id,bank,term_months,table_name,coefficient,is_active,created_at,agreement_id,safety_margin,operation_type,margin_type
79,PH Tech,72,"1115449 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0502181980,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
114,PH Tech,72,"1118449 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 4,49%",0.0502181980,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
93,PH Tech,72,"1118299 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0359630730,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
115,PH Tech,84,"1118449 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 4,49%",0.0493327740,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
116,PH Tech,96,"1118449 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 4,49%",0.0488239530,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
81,PH Tech,96,"1115449 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0488239530,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
102,PH Tech,96,"1118349 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 3,49%",0.0385337150,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
108,PH Tech,84,"1118399 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0442320320,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
80,PH Tech,84,"1115449 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0493327740,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
87,PH Tech,84,"1118259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0309489730,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
74,PH Tech,96,"1115399 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0436026230,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
88,PH Tech,96,"1118259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0299093150,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
289,PH Tech,72,"3418449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 4,49%",0.0502944740,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
291,PH Tech,96,"3418449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 4,49%",0.0488979620,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
334,PH Tech,24,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0622427000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
329,PH Tech,48,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0386561000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
344,PH Tech,60,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0425564000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
337,PH Tech,60,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0381932000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
330,PH Tech,60,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0348604000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
336,PH Tech,48,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0418223000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
