id,lead_id,user_id,campaign_id,status,ordem_fila,data_primeiro_atendimento,data_ultimo_atendimento,created_at,updated_at
12094,7,30,3,novo,75,,,2025-12-14 11:48:57.954723,2025-12-14 11:48:57.954723
12096,9,30,3,novo,77,,,2025-12-14 11:48:58.076011,2025-12-14 11:48:58.076011
12098,11,30,3,novo,79,,,2025-12-14 11:48:58.199244,2025-12-14 11:48:58.199244
12100,13,30,3,novo,81,,,2025-12-14 11:48:58.322117,2025-12-14 11:48:58.322117
12102,15,30,3,novo,83,,,2025-12-14 11:48:58.442216,2025-12-14 11:48:58.442216
12104,17,30,3,novo,85,,,2025-12-14 11:48:58.562915,2025-12-14 11:48:58.562915
12106,19,30,3,novo,87,,,2025-12-14 11:48:58.684911,2025-12-14 11:48:58.684911
12108,21,30,3,novo,89,,,2025-12-14 11:48:58.805995,2025-12-14 11:48:58.805995
12110,23,30,3,novo,91,,,2025-12-14 11:48:58.926611,2025-12-14 11:48:58.926611
12112,25,30,3,novo,93,,,2025-12-14 11:48:59.047082,2025-12-14 11:48:59.047082
12114,27,30,3,novo,95,,,2025-12-14 11:48:59.167864,2025-12-14 11:48:59.167864
12116,29,30,3,novo,97,,,2025-12-14 11:48:59.288419,2025-12-14 11:48:59.288419
12118,31,30,3,novo,99,,,2025-12-14 11:48:59.40956,2025-12-14 11:48:59.40956
12120,33,30,3,novo,101,,,2025-12-14 11:48:59.530323,2025-12-14 11:48:59.530323
12122,35,30,3,novo,103,,,2025-12-14 11:48:59.650416,2025-12-14 11:48:59.650416
12124,37,30,3,novo,105,,,2025-12-14 11:48:59.774216,2025-12-14 11:48:59.774216
12126,39,30,3,novo,107,,,2025-12-14 11:48:59.895322,2025-12-14 11:48:59.895322
12128,41,30,3,novo,109,,,2025-12-14 11:49:00.015433,2025-12-14 11:49:00.015433
12130,43,30,3,novo,111,,,2025-12-14 11:49:00.136924,2025-12-14 11:49:00.136924
12132,45,30,3,novo,113,,,2025-12-14 11:49:00.257538,2025-12-14 11:49:00.257538
12134,47,30,3,novo,115,,,2025-12-14 11:49:00.378701,2025-12-14 11:49:00.378701
12136,49,30,3,novo,117,,,2025-12-14 11:49:00.502497,2025-12-14 11:49:00.502497
12138,119,30,3,novo,119,,,2025-12-14 11:49:00.622904,2025-12-14 11:49:00.622904
12140,121,30,3,novo,121,,,2025-12-14 11:49:00.744539,2025-12-14 11:49:00.744539
12142,123,30,3,novo,123,,,2025-12-14 11:49:00.867154,2025-12-14 11:49:00.867154
12144,125,30,3,novo,125,,,2025-12-14 11:49:00.990828,2025-12-14 11:49:00.990828
12146,127,30,3,novo,127,,,2025-12-14 11:49:01.111281,2025-12-14 11:49:01.111281
12148,129,30,3,novo,129,,,2025-12-14 11:49:01.232034,2025-12-14 11:49:01.232034
